cluster_id	size	canonical_question	member_titles	topics
106	12	Redacta un alcance de los trabajos detallado que describa el enfoque, metodología y tareas que realizarás para llevar a cabo dicho estudio (...)	Analisis juridico administrativo metro; Asesoria Consultoria APP BID; Desarrollo herramienta analitica UE; Eficiencia energetica autopistas peaje; Foro sobre ferrocarriles en Africa; IA Generativa en Ingenieria; IA generativa en geoespacial; Integracion Obsidian ChatGPT LinkedIn; Marco concesional carreteras España; Metro Sevilla Linea 2.; Rescate anticipado concesión AP-7; Tendencias IA imagenes satelitales	AP-7 concession (rescate anticipado), Automation/Integrations, EU public procurement, IA aplicada a imágenes satelitales, IA generativa, LateNode, Obsidian, administrative/procurement law, aplicación en ingeniería civil, asociaciones público-privadas (APP), autopistas de peaje, built environment, compensation calculation (RPA) and public cost, concesiones de carreteras, concessions/PPP, consultoría / BID procurement, eficiencia energética, evaluación de inversiones, formación / presentación, generative AI, governance and regional integration, infraestructura, land value capture, market intelligence, metro planning, plugin QGIS (Spatial Analysis Agent), procesamiento y análisis geoespacial, project financing / investment, project scope & deliverables, rail infrastructure in Africa, regulación (ley de desindexación), satellite imagery, sistema free-flow, transport finance, transport mobility study / procurement offer draft
105	10	Elabora en detalle el punto sobre el contrato y acuerdos específicos, con especial atención a la asignación y gestión de responsabilidades, riesgos, incentivos, etc.	Aportacion Real Decreto SIT; Aprobacion Proyecto Constructivo; Asesoria Consultoria APP BID; Concesion de CO de La Elipa; Contrato y economia A2 2023; Contratos publico-privados infraestructura; Estrategia Digital para TYPSA; Estrategia Digital para TYPSA (1); Fideicomiso de Proposito Especial; Mauritania Road	Asociación Público-Privada (APP) project structure, Concesión de obra, Contratación pública (LCSP), EPC+F vs concession procurement, SLA / asignación de riesgos, Tramitación ambiental, UKEF guarantees and risk allocation, asociaciones público-privadas (APP), concesión/contrato, concession contract, consultoría / BID procurement, contratos público-privados (PPP), data governance, data management, data platforms, digital strategy, digital transformation, fideicomiso (trust) for PPP financing, gestión energética (autoconsumo), governance, indicadores de desempeño (calidad y disponibilidad), infraestructura, infrastructure finance, infrastructure project finance, intelligent transport systems, organizational governance, supervisión del ingeniero independiente, transport regulation, vivienda / infraestructura social
47	9	What elements are included in the Albacete-Alicante PPP contract?	Comparison of Construction Contracts; EPC vs. Design & Build; FIDIC Contracts Overview; Infrastructure Advisory Services Summary; RRAM Technical Assistance Summary; Rail PPPs Challenges & Trends; SR400; Understanding EPC Contracts	CSP thermal energy storage, EPC commercial clauses, EPC contracts, EPC vs Design & Build, FIDIC contracts, Owner's engineer roles, PPP concession, PPP contract design, business strategy (EPC vs EPC+maintenance), capacity building, climate resilience, construction contracts, consulting engineering (bibliography), infrastructure advisory, procurement methods, rail public-private partnerships, resilient road asset management, risk allocation, risk allocation / management, toll-road operations, urban development planning, value engineering
277	9	Modifica el código para que también devuelva el nombre de la empresa adjudicataria y el valor del contrato en euros	Aprobacion Proyecto Constructivo; Compra publica y TYPSA; Conexion API TED Python; Contracto EPC con garantias; Contrato concesión de obras; Contrato y economia A2 2023; Informe ONE y concesion; Optimizacion contratos suministros; Verificación modificaciones concesiones	BIM implementation in public contracts, Concesión de obra, Contratación pública (LCSP), EPC contracts, Python API integration, Query construction and debugging, TED API, Tramitación ambiental, autoconsumo y compensación de excedentes, cambio de comercializadora / negociación, concesiones, concesiones (contratos públicos), concession contract, concession contracts, consultancy market / TYPSA competitive positioning, contract clauses (PCAP/PPTP), contratación pública (LCSP / Orden HFP/1381/2021), contratos de suministro eléctrico, evaluación financiera, geotechnical risk allocation, infrastructure finance, modificaciones contractuales, project finance, public procurement of technology, risk allocation, tributación (ITP) en licitaciones
134	8	¿Te gustaría un resumen visual o en formato de tabla con los entregables y el equipo técnico?	Alcance del diseno MRT; Areas Clave segun CODE; Foro sobre ferrocarriles en Africa; Informe CM-400 Consulta; Reforma de l'administracio publica; Relevancia de gemelos digitales; Riesgos y proteccion online	BIM, MRT infrastructure design, PARA/CODE frameworks, areas of responsibility, civil service reform, digital-twins, estafas en línea, governance and regional integration, infrastructure, ingeniería social, pavement maintenance, personal knowledge management, project financing / investment, protección digital, public administration reform, rail infrastructure in Africa, renewable energy and EV charging, road infrastructure, sustainability and resilience
65	7	Summarise the scope of services in the specification and expand it to include duration and how the services must be performed.	Bankability Report Overview; Construction Management RFP Summary; Nestos IE Contract; SLRN RFP Scope Summary; Scope of Services Phase 3; TYPSA complementing MP services; WP Summary for Airbus Contract	Dam PPP contract, Independent Certifier / Independent Engineer, Phase 3, RFP / procurement, Scope of services / Personnel requirements, bankability report, construction management, consulting services, contract scope, infrastructure advisory, joint-venture scope allocation, owner's engineer (OE), railway infrastructure, renewable projects, scope of services, services procurement, supplier evaluation, work packages
246	7	Explica en más detalle en qué consiste la "Diversidad de Esquemas de PPP" en distintos países	Aportacion Real Decreto SIT; Consultoria estrategica de TYPSA; Digital Transition in Infrastructures; Inversion en Infraestructura Publica; Plan Maestro Desarrollo Negocio; Teoria Categorias Aprendizaje Profundo; Transicion Energia Verde EBRD	EBRD, PPP (participación público-privada), asset management, category theory, data governance, deep learning, digital transition, green energy transition, high-level transport modelling, image generation, infraestructura pública, infrastructure, infrastructure consulting, intelligent transport systems, modelos econométricos, public-private partnership, road concessions, strategic business planning, systems theory, transport regulation
279	7	Haz un análisis crítico de coherencia legal y administrativa del pliego en base a la jurisprudencia reciente.	Analisis juridico administrativo metro; Conservacion de Autopistas Federales; Contratos publico-privados infraestructura; Costes y ingresos FFCC.; IA para gestión infraestructuras; Rescate concesión AP-7; Resumen concurso concesión	AI for infrastructure management, Asset risk analysis, Expert roles in AI systems, Ley de Caminos, Puentes y Autotransporte Federal, RPA calculation, Spanish public procurement law, administrative/procurement law, análisis jurídico, business case, concesiones, concesión administrativa, concession termination, concessions/PPP, conservación de autopistas, contratos público-privados (PPP), indicadores de desempeño (calidad y disponibilidad), project finance, project scope & deliverables, rail infrastructure, viabilidad financiera, vivienda / infraestructura social
37	6	What about road safety?	2024 IBTTA Summit Highlights; CVA in Transport Research; EU ITS Directive Road Safety; Safe Systems Approach.	Climate vulnerability assessment (CVA), EU ITS Directive (road safety), PPPs / concessions and infrastructure regulation, Road funds (African road maintenance funds), Road transport / asset management, Safe Systems national road safety strategy (Albania), Transport Community road safety action plan, road safety, road user charging (RUC), safe systems, tolling technology (MLFF / GNSS)
60	6	Make a structured analysis of how INTEMAC expertise can be applied to the different needs of my clients (infrastructure developers in PPP/concession contracts) and create a table to synthesise it	Bridge Restoration Challenges & Opportunities; P3 Infrastructure US Trends; PRAK Technical Advisor; Resumen de INTEMAC servicios; Riesgos en contrato de consultoria; Services Contract Scope Summary	P3 (Public-Private Partnerships), PPP technical advisory, PPP/concession, US infrastructure trends, asset management advisory, bridge restoration, consulting services, contract risk, forensic structural engineering, industrial master planning, investor targeting, project procurement and risks, railway O&M, scope comparison, team composition / expert roles
